sexe,age,distance_parcourus_KM,nombre_heure_retard,travail,premiere_fois,nb_heure_travail_semaine,Tutorat,provenance,vehicule,vis_seul,etat_matrimonial,heure_moyenne_sommeil,Nom_cours,classe
1,37,2,24,0,1,33,1,3,1,0,1,7,Espagnol,1
0,35,17,11,0,1,16,0,3,0,0,0,5,Genie logiciel,1
0,38,6,12,0,0,13,1,2,0,1,1,4,Peripheriques et objets connectes,1
1,28,24,13,1,0,20,1,3,1,0,1,4,Anglais,0
0,38,16,7,1,0,29,1,0,0,0,1,10,Developpement web avance,1
1,29,4,3,0,1,29,1,4,1,0,0,9,Langages de programmation avances,1
0,34,15,11,1,1,34,0,1,1,0,0,8,Anglais,0
0,23,15,3,1,0,9,0,0,0,0,0,5,Algorithmes avances,0
1,40,26,6,1,1,29,1,2,1,0,0,6,Machine Learning,1
1,31,8,14,0,1,27,1,1,1,1,0,8,Espagnol,0
0,17,8,22,0,1,3,0,3,0,1,0,7,Application mobile 1,1
1,22,21,16,0,1,13,0,1,1,0,0,4,Programmation orientee objet,0
1,29,17,5,0,0,35,0,4,1,1,0,6,Securite informatique,0
0,39,12,23,0,1,16,1,2,1,1,1,8,Intelligence artificielle 2,1
0,22,1,17,1,0,30,1,0,0,0,0,4,Genie logiciel,1
0,27,24,8,1,1,15,1,1,1,1,1,9,Application mobile 2,1
0,32,5,16,0,1,22,1,3,1,0,0,6,Conception de bases de donnees,0
0,19,30,11,1,1,15,0,3,1,1,0,4,Peripheriques et objets connectes,0
1,27,1,3,1,0,5,0,2,1,1,1,5,Big Data Analytics,0
0,32,10,10,0,0,3,1,1,1,1,0,7,Philosophie 2,0
0,39,4,7,1,1,15,0,1,1,0,1,5,Algorithmes avances,0
0,35,28,2,0,0,12,1,2,0,0,1,7,Securite informatique,0
1,22,4,22,0,1,4,1,3,0,0,1,10,Intelligence artificielle 1,0
0,34,27,14,0,1,6,0,2,1,1,0,8,Programmation orientee objet,0
1,29,15,16,1,0,9,0,1,0,0,0,10,Conception de bases de donnees,0
0,31,18,12,0,1,24,1,0,0,1,1,4,Intelligence artificielle 1,1
1,33,12,11,1,1,33,1,4,1,0,1,7,Developpement web avance,0
1,37,21,15,0,1,1,1,1,1,0,0,4,Fracais 2,1
0,29,30,0,0,0,26,1,3,1,0,0,6,Application mobile 2,0
1,29,1,5,0,1,7,1,0,1,1,1,4,Application mobile 2,1
1,22,20,21,1,0,1,1,3,1,0,1,9,Traitement du langage naturel,0
1,40,11,6,0,0,6,1,0,0,0,1,9,Intelligence artificielle 2,0
0,35,4,3,1,0,4,1,2,1,1,1,8,Programmation orientee objet,0
1,31,13,21,0,0,31,0,1,1,0,1,8,Developpement web avance,1
1,23,1,17,1,1,5,1,0,0,1,0,7,Philosophie 3,0
1,17,4,18,0,0,8,0,4,1,0,1,7,Developpement web avance,0
1,38,13,5,1,0,19,0,1,0,0,1,4,Espagnol,1
0,29,18,6,1,0,17,1,2,1,0,1,10,Reseaux informatiques,0
1,20,26,20,0,0,8,0,2,0,1,1,5,Intelligence artificielle 1,1
1,33,25,7,1,1,17,1,3,1,0,0,10,Structure de base de donnees,0
1,21,25,21,0,0,20,1,1,0,1,1,4,Peripheriques et objets connectes,1
1,40,20,9,1,0,22,0,3,0,1,0,8,Systemes d'exploitation,1
1,33,23,21,0,0,8,1,1,1,1,0,8,Intelligence artificielle 2,1
1,28,17,2,0,1,26,0,2,0,1,1,5,Espagnol,1
0,34,2,16,1,0,6,0,2,1,1,1,9,Mathematiques discretes,1
1,34,27,3,0,0,25,0,1,1,1,0,5,Machine Learning,1
1,32,15,20,1,1,10,1,1,1,1,1,5,Big Data Analytics,0
1,18,30,19,0,1,23,1,2,1,1,1,9,Francais 3,0
0,21,3,1,0,0,22,0,4,0,0,1,9,Philosophie 3,0
0,25,23,3,1,1,25,0,3,0,1,1,7,Reseaux informatiques,0
1,40,5,11,1,1,32,0,3,1,1,1,6,Peripheriques et objets connectes,1
1,19,11,2,0,0,35,1,1,0,1,1,5,Systemes d'exploitation,0
1,33,6,14,1,0,34,0,1,1,0,1,4,Mathematiques discretes,0
0,30,27,14,1,1,7,1,2,1,0,0,8,Espagnol,1
1,18,3,6,0,0,19,1,4,0,0,1,4,Intelligence artificielle 2,0
1,31,21,21,1,0,22,1,3,0,0,1,8,Anglais,1
1,37,9,1,1,0,24,1,4,1,1,1,6,Langages de programmation avances,1
0,40,16,12,0,0,19,1,0,0,1,1,5,Application mobile 2,1
0,17,9,3,0,0,20,1,1,1,1,0,10,Application mobile 2,1
1,26,21,1,0,1,28,0,3,1,1,0,9,Robotique,0
0,31,26,16,1,1,20,0,4,1,0,1,4,Programmation orientee objet,0
1,30,8,2,1,0,28,0,3,0,1,0,6,Peripheriques et objets connectes,1
1,20,22,1,0,0,15,1,1,0,0,1,4,Machine Learning,0
1,24,7,7,1,1,5,0,3,1,0,0,10,Application mobile 1,0
0,33,28,13,1,0,9,0,3,0,0,0,4,Francais 3,1
1,19,5,17,1,1,33,1,0,0,0,0,8,Anglais,1
0,28,16,23,1,1,23,0,4,1,0,1,8,Espagnol,0
0,39,7,6,1,0,17,0,0,1,1,1,8,Reseaux informatiques,0
1,23,29,2,1,1,16,0,4,0,0,0,5,Structure de base de donnees,0
1,38,26,15,0,1,0,1,4,1,0,0,4,Genie logiciel,1
1,34,14,15,0,0,14,0,4,1,0,1,5,Philosophie 3,1
1,25,5,9,0,0,12,1,2,0,0,1,6,Philosophie 1,0
0,40,5,17,0,0,16,0,0,0,0,1,4,Peripheriques et objets connectes,1
0,18,9,18,1,1,18,1,2,1,1,0,9,Securite informatique,1
1,40,22,6,1,1,17,0,4,1,1,1,6,Big Data Analytics,1
0,21,1,23,1,1,3,1,2,1,0,0,9,Peripheriques et objets connectes,1
0,29,22,21,0,1,12,0,0,0,0,0,5,Machine Learning,0
1,39,18,12,0,0,29,0,0,0,1,0,10,Genie logiciel,1
0,32,5,8,0,1,28,1,1,0,1,0,9,Francais 1,0
1,23,14,2,0,1,10,0,2,1,0,0,9,Machine Learning,1
0,36,6,21,0,0,16,0,2,0,1,0,9,Intelligence artificielle 1,1
0,26,28,3,0,0,21,0,0,1,0,0,9,Intelligence artificielle ethique,0
1,20,16,7,0,0,0,1,1,0,1,0,7,Philosophie 2,1
1,31,30,4,0,1,16,0,4,0,0,1,6,Intelligence artificielle 1,1
1,30,3,12,1,1,27,1,0,0,0,0,7,Intelligence artificielle 1,1
1,32,4,16,0,1,12,1,0,1,1,0,5,Systemes d'exploitation,1
1,32,20,15,1,0,24,1,4,0,0,1,7,Intelligence artificielle ethique,0
0,29,14,0,0,0,25,1,2,0,0,1,6,Philosophie 3,0
1,29,13,7,1,0,24,1,4,0,0,1,4,Systemes d'exploitation,1
0,20,25,11,1,1,2,1,3,1,1,1,10,Conception de bases de donnees,0
0,40,12,4,0,0,21,0,0,1,1,1,10,Intelligence artificielle ethique,1
0,32,7,23,1,0,9,0,3,1,1,0,9,Application mobile 2,0
0,36,19,0,1,0,2,0,3,1,1,1,5,Securite informatique,0
1,36,16,19,1,0,26,1,1,1,1,1,9,Mathematiques discretes,1
1,19,23,16,1,0,22,0,0,0,0,0,9,Reseaux informatiques,1
0,36,10,10,1,0,21,1,0,1,0,1,9,Programmation orientee objet,1
1,22,5,8,1,1,22,1,2,1,1,1,10,Philosophie 3,0
0,40,15,2,1,1,27,1,0,0,1,1,10,Algorithmes avances,1
1,32,11,5,0,0,20,0,4,1,1,1,5,Machine Learning,1
1,36,4,19,1,1,2,1,2,1,1,0,7,Espagnol,0
1,29,26,6,1,1,8,1,2,1,0,0,6,Intelligence artificielle ethique,1
0,17,4,3,1,1,8,1,3,1,0,0,6,Reseaux informatiques,1
0,27,25,7,0,1,9,0,2,1,0,0,6,Philosophie 3,0
0,36,19,10,0,1,12,1,4,1,0,0,4,Genie logiciel,1
1,34,30,4,0,1,18,0,2,1,0,1,8,Machine Learning,1
1,26,13,17,0,0,2,0,4,1,1,1,8,Reseaux informatiques,0
0,38,7,8,1,1,3,0,1,0,0,0,5,Intelligence artificielle 1,0
1,20,4,5,0,1,2,1,2,1,0,0,5,Fracais 2,0
1,39,10,12,0,0,13,1,4,0,0,1,6,Programmation orientee objet,1
0,37,14,17,0,1,28,1,0,0,0,0,4,Philosophie 1,1
0,20,13,2,1,1,4,0,3,1,0,1,4,Developpement web avance,0
1,19,20,3,1,0,2,0,4,1,0,0,10,Intelligence artificielle 1,1
1,19,14,1,1,1,25,1,1,1,1,1,7,Philosophie 2,1
0,25,20,14,0,1,12,0,1,0,1,1,8,Anglais,0
0,19,22,25,0,1,30,0,0,1,1,1,8,Francais 3,1
1,18,11,17,1,1,30,0,3,1,1,1,6,Structure de base de donnees,1
1,29,13,19,1,1,15,1,0,1,1,0,6,Securite informatique,0
1,26,7,18,0,0,21,0,1,1,0,1,8,Intelligence artificielle ethique,0
1,32,1,16,1,0,31,0,1,0,1,0,9,Intelligence artificielle 2,0
1,17,11,25,0,0,30,0,4,1,1,0,8,Reseaux informatiques,1
1,31,30,0,0,1,3,1,2,0,1,1,10,Reseaux informatiques,1
0,32,28,6,0,1,17,0,0,0,0,0,7,Francais 3,1
0,17,3,20,1,0,4,1,4,0,1,0,10,Genie logiciel,0
0,21,21,6,1,0,22,1,0,1,1,0,7,Philosophie 3,1
1,27,5,14,0,1,35,0,4,0,1,1,5,Programmation orientee objet,1
1,31,22,7,0,1,32,0,1,1,0,0,4,Developpement web avance,1
0,18,28,7,1,1,4,1,2,1,0,1,6,Francais 1,0
1,26,10,6,0,1,9,1,0,1,0,0,6,Intelligence artificielle 1,1
0,21,17,12,0,1,2,0,2,0,1,1,8,Anglais,1
1,20,21,0,1,1,32,1,3,0,1,1,9,Philosophie 1,1
1,18,15,3,0,0,18,0,4,1,0,1,4,Robotique,1
1,29,20,13,1,0,6,0,0,1,0,0,9,Genie logiciel,0
0,29,1,4,1,0,4,1,1,0,0,1,7,Structure de base de donnees,1
1,31,17,3,0,1,16,1,2,0,0,0,6,Securite informatique,1
1,33,25,4,1,1,27,1,4,0,1,1,8,Anglais,0
0,24,24,1,0,0,7,1,1,1,1,1,4,Intelligence artificielle 2,1
1,25,15,3,1,0,26,0,4,0,0,0,7,Intelligence artificielle ethique,1
1,38,1,12,1,0,7,1,0,0,1,1,4,Francais 1,0
0,17,29,24,1,1,23,1,4,1,0,0,9,Conception de bases de donnees,0
0,40,14,23,0,0,34,0,2,1,0,1,6,Algorithmes avances,0
0,25,11,17,0,1,15,1,3,0,0,0,10,Langages de programmation avances,1
0,22,28,14,0,0,35,0,0,0,0,0,9,Espagnol,1
0,17,13,6,1,1,33,1,0,1,1,1,7,Programmation orientee objet,1
1,24,11,2,0,1,8,0,0,0,1,1,4,Machine Learning,0
1,29,11,12,0,1,5,0,4,1,0,1,10,Big Data Analytics,0
0,26,29,23,1,0,15,1,2,1,1,0,8,Big Data Analytics,0
0,21,4,23,1,0,23,0,0,1,0,0,9,Peripheriques et objets connectes,1
0,37,22,16,0,1,31,1,2,0,1,1,9,Machine Learning,0
1,29,28,19,0,0,28,0,0,0,1,1,7,Robotique,0
0,26,21,3,1,0,22,0,1,0,1,1,4,Application mobile 1,1
1,33,4,5,0,0,5,1,1,1,1,0,4,Philosophie 3,1
0,34,18,15,0,0,28,1,1,1,0,0,6,Philosophie 3,0
0,21,7,0,1,1,26,0,3,0,1,1,10,Philosophie 3,1
0,30,26,16,1,1,7,0,2,1,0,1,10,Anglais,0
0,32,4,5,0,0,5,1,1,1,1,0,9,Espagnol,0
0,40,24,25,0,0,25,1,0,1,0,0,7,Programmation orientee objet,0
0,25,5,25,0,1,7,0,1,0,1,1,7,Algorithmes avances,0
1,32,8,10,1,1,26,1,2,1,1,1,8,Philosophie 2,1
0,24,3,2,0,0,22,0,4,1,0,1,6,Systemes d'exploitation,1
1,18,6,13,0,1,3,1,2,0,1,1,8,Developpement web avance,0
0,19,2,19,1,1,18,0,4,0,1,0,5,Securite informatique,1
0,33,12,21,0,1,33,1,1,0,1,0,10,Conception de bases de donnees,1
1,22,4,10,0,0,2,0,2,1,1,1,6,Structure de base de donnees,1
1,25,19,15,1,1,2,0,1,1,0,1,4,Intelligence artificielle 1,1
1,17,26,6,1,0,30,0,1,1,0,0,6,Structure de base de donnees,0
0,31,29,11,0,0,26,0,1,0,1,0,6,Developpement web avance,0
0,19,13,7,0,0,9,0,0,0,1,0,7,Structure de base de donnees,1
1,40,1,9,0,1,20,0,4,1,0,1,8,Anglais,0
1,23,30,10,0,0,2,0,4,1,0,0,9,Francais 3,1
1,19,5,20,1,1,20,0,3,0,0,1,4,Philosophie 2,0
1,32,9,0,0,1,10,0,4,1,0,1,10,Intelligence artificielle ethique,0
1,37,29,19,1,0,10,0,0,1,1,1,5,Philosophie 2,1
0,20,11,20,0,1,18,0,3,0,0,1,4,Structure de base de donnees,0
0,29,12,19,1,1,27,1,4,0,0,0,10,Developpement web avance,0
1,20,23,14,0,1,35,1,1,0,0,0,7,Algorithmes avances,0
1,34,19,7,0,0,25,1,2,0,0,1,4,Francais 3,0
0,38,19,19,0,0,19,1,1,1,0,0,10,Mathematiques discretes,1
0,35,1,23,1,0,24,0,1,1,1,1,5,Peripheriques et objets connectes,0
0,33,11,22,1,0,9,1,0,0,1,1,10,Application mobile 1,1
1,22,17,22,1,1,8,0,1,0,1,0,8,Machine Learning,0
0,21,5,20,0,1,24,0,1,0,0,1,8,Philosophie 1,1
1,36,1,25,1,1,27,1,3,1,1,0,7,Fracais 2,0
1,20,26,23,0,1,24,1,3,1,1,0,6,Francais 1,0
0,28,2,1,1,1,10,1,4,1,1,1,4,Application mobile 1,0
0,19,10,12,1,1,5,0,4,1,0,1,5,Anglais,1
1,32,3,1,0,0,19,1,0,0,0,1,5,Robotique,1
1,34,3,6,1,1,35,0,1,0,1,1,6,Reseaux informatiques,1
0,32,28,10,0,1,23,1,3,0,1,1,10,Philosophie 3,0
1,24,8,4,1,0,35,1,0,1,0,1,9,Reseaux informatiques,0
0,24,13,1,0,1,28,1,1,1,0,0,8,Intelligence artificielle ethique,1
1,26,3,22,0,1,3,0,4,0,0,1,7,Systemes d'exploitation,1
1,32,1,7,0,1,34,0,3,0,0,1,5,Intelligence artificielle 2,1
1,37,22,3,1,1,2,0,4,0,1,0,4,Espagnol,0
0,36,24,1,1,0,20,1,4,1,0,0,9,Securite informatique,0
0,28,16,2,0,1,29,0,2,1,1,0,9,Big Data Analytics,0
0,38,20,8,0,1,26,1,4,0,0,1,7,Genie logiciel,1
1,37,27,18,0,0,5,0,1,1,0,0,4,Machine Learning,1
1,36,27,11,0,1,4,0,1,1,1,1,8,Fracais 2,0
0,31,12,21,0,1,35,1,0,0,0,0,8,Machine Learning,0
1,22,25,17,1,1,18,0,0,0,0,0,4,Conception de bases de donnees,0
0,17,5,3,1,1,23,1,0,0,1,0,7,Application mobile 1,1
0,28,9,2,1,0,21,1,2,0,1,0,4,Machine Learning,1
0,29,17,4,0,1,2,0,4,1,1,0,6,Conception de bases de donnees,0
1,31,2,24,0,1,20,1,0,0,0,1,10,Philosophie 2,0
1,18,23,15,1,0,12,0,1,0,1,1,6,Espagnol,1
1,32,20,8,0,1,17,1,3,1,1,1,7,Mathematiques discretes,1
1,36,17,7,1,1,28,0,3,1,0,1,7,Intelligence artificielle ethique,0
1,32,8,17,1,1,28,0,2,1,1,0,8,Structure de base de donnees,1
0,28,18,24,1,0,1,1,0,0,0,1,7,Developpement web avance,0
0,32,5,4,0,1,4,1,0,0,0,0,7,Intelligence artificielle ethique,1
1,25,13,3,0,0,18,1,2,1,1,0,6,Philosophie 1,1
0,35,16,18,1,1,7,1,2,1,1,1,7,Intelligence artificielle 1,0
1,25,21,16,1,1,17,0,4,1,1,0,7,Langages de programmation avances,1
0,17,16,3,1,1,18,0,2,0,0,1,6,Application mobile 2,1
0,20,8,16,1,1,31,0,0,0,1,0,9,Application mobile 1,1
1,26,20,0,1,1,18,0,2,1,0,0,9,Intelligence artificielle 2,1
1,25,25,10,1,0,30,1,4,1,0,1,7,Philosophie 1,0
1,36,23,7,1,1,8,0,4,1,1,0,9,Intelligence artificielle 1,0
1,38,16,6,0,0,35,1,3,0,0,1,8,Genie logiciel,1
0,29,15,17,1,1,35,0,0,0,0,1,8,Mathematiques discretes,0
1,33,13,12,0,1,5,0,3,1,0,1,9,Genie logiciel,1
1,18,23,3,1,1,25,0,1,1,0,1,7,Intelligence artificielle 2,1
1,21,29,1,0,1,17,1,3,0,0,0,9,Developpement web avance,1
0,22,18,10,0,1,32,0,2,0,1,1,10,Mathematiques discretes,1
0,21,16,12,0,1,35,1,3,0,1,0,4,Peripheriques et objets connectes,0
1,30,29,12,1,0,14,1,1,0,1,1,6,Langages de programmation avances,0
1,38,30,6,0,1,27,0,1,1,0,0,5,Langages de programmation avances,0
1,25,9,11,1,0,24,1,1,0,0,0,8,Langages de programmation avances,0
0,36,30,24,0,1,6,0,0,0,0,1,4,Traitement du langage naturel,0
1,25,12,6,0,1,30,0,3,1,0,1,5,Genie logiciel,1
0,20,23,4,1,1,12,1,4,0,1,1,9,Robotique,1
0,21,21,3,0,0,29,1,4,0,1,1,6,Francais 1,0
1,23,22,7,1,0,28,0,1,1,0,0,7,Conception de bases de donnees,0
1,20,4,17,0,0,2,0,2,1,1,0,8,Machine Learning,0
0,30,21,5,0,1,11,1,4,0,1,0,7,Fracais 2,0
1,27,4,20,0,0,14,1,3,0,1,0,10,Application mobile 1,0
0,24,19,11,0,1,15,0,0,1,0,0,9,Intelligence artificielle 2,0
0,27,25,8,1,0,30,0,3,0,0,1,9,Peripheriques et objets connectes,1
1,17,1,18,0,1,7,1,4,1,1,1,10,Big Data Analytics,0
0,29,20,3,0,1,35,0,4,0,1,1,10,Philosophie 2,0
0,38,8,17,1,0,35,1,2,0,0,1,8,Espagnol,1
0,22,13,13,0,0,29,0,1,0,0,0,10,Langages de programmation avances,1
0,22,24,11,1,1,26,1,4,0,0,1,7,Robotique,1
1,30,4,3,0,0,7,1,4,1,1,0,9,Mathematiques discretes,0
0,37,16,15,0,1,3,1,0,0,0,0,6,Application mobile 2,1
1,29,8,21,1,1,34,0,0,0,1,0,10,Systemes d'exploitation,1
1,32,15,18,0,0,34,0,3,0,0,0,7,Reseaux informatiques,1
0,17,23,20,0,0,35,1,1,1,0,1,5,Langages de programmation avances,0
1,34,23,21,1,0,20,1,4,0,0,0,10,Genie logiciel,1
0,20,17,15,1,0,22,1,3,1,0,1,7,Intelligence artificielle ethique,1
1,38,19,8,1,0,24,1,0,0,1,0,6,Big Data Analytics,0
0,18,8,14,1,1,21,0,0,1,0,1,5,Developpement web avance,1
1,27,23,20,1,1,22,0,0,1,1,0,5,Philosophie 1,1
1,28,25,13,1,0,5,1,4,1,0,1,5,Philosophie 3,0
1,28,14,20,0,1,32,0,0,0,0,1,7,Conception de bases de donnees,0
0,33,9,1,1,0,10,0,2,1,0,0,7,Peripheriques et objets connectes,0
0,27,7,19,0,1,7,1,3,1,0,0,10,Conception de bases de donnees,1
0,22,13,19,0,0,15,0,4,1,0,0,10,Big Data Analytics,1
1,18,20,10,1,1,31,0,4,1,1,0,8,Algorithmes avances,0
0,24,12,22,1,1,6,1,1,0,0,1,8,Francais 3,1
1,24,7,4,1,0,6,1,3,0,1,1,4,Fracais 2,0
0,26,14,4,0,0,14,1,4,0,1,1,6,Intelligence artificielle 2,1
0,39,15,12,0,1,8,1,0,0,0,0,10,Intelligence artificielle ethique,0
0,29,29,6,1,1,0,1,2,1,1,0,9,Langages de programmation avances,1
1,25,13,21,1,1,26,0,1,0,0,1,4,Systemes d'exploitation,1
0,34,7,12,1,1,3,1,4,0,1,0,10,Mathematiques discretes,0
0,30,24,19,1,0,0,0,4,0,0,1,10,Algorithmes avances,0
1,27,2,25,0,1,15,1,0,1,1,0,9,Francais 1,0
1,18,30,19,1,1,19,0,2,1,1,1,8,Peripheriques et objets connectes,1
0,36,23,16,0,0,11,0,4,1,1,1,9,Anglais,1
1,32,6,1,1,0,3,1,0,1,0,0,5,Conception de bases de donnees,0
0,27,17,13,1,0,0,0,1,1,1,1,10,Peripheriques et objets connectes,1
0,21,7,12,0,1,28,1,3,1,0,1,4,Genie logiciel,1
1,27,14,6,0,1,35,0,4,0,1,0,8,Developpement web avance,1
0,40,28,10,0,0,19,1,4,1,1,1,6,Philosophie 3,1
0,28,22,23,1,1,0,1,3,1,1,1,10,Systemes d'exploitation,1
1,30,6,24,0,1,22,1,4,0,1,1,4,Application mobile 2,0
0,18,10,11,0,1,7,0,4,0,1,0,5,Intelligence artificielle 2,1
1,21,18,25,1,1,4,0,3,0,0,0,5,Philosophie 3,1
1,32,21,7,1,1,18,0,1,1,0,0,9,Systemes d'exploitation,1
1,36,30,13,0,0,10,0,3,0,1,1,6,Machine Learning,0
1,23,20,0,1,1,29,1,4,1,0,0,10,Systemes d'exploitation,0
0,38,27,8,0,0,20,1,4,1,1,0,7,Intelligence artificielle 2,1
0,17,4,15,0,1,5,1,0,0,0,1,7,Peripheriques et objets connectes,0
0,21,18,23,1,1,32,1,3,0,0,1,7,Machine Learning,1
0,33,15,20,1,0,19,1,1,1,1,0,8,Securite informatique,1
1,26,26,15,1,0,3,1,3,0,0,1,4,Application mobile 1,1
1,34,28,6,1,0,12,1,3,0,0,1,10,Reseaux informatiques,0
0,34,29,2,1,1,16,0,2,1,0,1,6,Genie logiciel,1
1,23,29,3,0,0,29,1,4,0,0,0,6,Anglais,1
0,29,15,1,0,0,28,0,3,0,0,1,6,Anglais,1
1,31,27,12,1,0,19,0,0,1,0,1,10,Anglais,0
1,29,27,1,1,0,11,1,4,1,0,1,9,Francais 3,1
0,38,10,19,1,1,8,1,3,0,0,0,10,Langages de programmation avances,0
1,18,21,5,1,0,17,0,1,0,1,1,5,Intelligence artificielle 2,1
1,30,7,15,0,0,5,0,2,0,0,1,5,Philosophie 2,1
0,25,19,10,1,0,4,1,1,1,1,1,7,Systemes d'exploitation,1
1,36,14,0,1,1,33,0,3,0,0,0,9,Traitement du langage naturel,0
1,29,18,25,1,0,25,1,4,0,0,0,7,Structure de base de donnees,1
1,33,11,22,1,1,18,0,3,1,1,0,10,Anglais,1
1,32,20,20,0,0,5,0,4,0,0,1,5,Reseaux informatiques,0
0,39,20,14,1,1,6,1,4,0,0,1,6,Francais 1,0
1,33,10,16,1,0,27,1,0,0,1,1,4,Conception de bases de donnees,0
1,36,7,4,0,1,35,0,1,0,0,1,10,Programmation orientee objet,0
1,29,26,17,0,1,13,1,4,0,1,0,5,Philosophie 2,0
0,31,16,16,1,1,31,0,2,1,1,1,10,Francais 3,0
0,40,6,17,1,1,7,1,1,0,1,1,8,Securite informatique,1
1,30,10,20,1,0,19,0,0,1,0,1,5,Application mobile 2,0
1,24,18,20,1,0,4,0,0,1,0,0,8,Espagnol,1
1,35,14,22,0,1,35,0,1,1,1,0,8,Securite informatique,0
0,31,2,15,1,0,34,1,0,0,1,0,10,Application mobile 1,1
0,31,13,10,1,0,12,1,0,1,1,1,7,Reseaux informatiques,0
0,36,20,8,1,0,22,1,4,0,1,1,6,Philosophie 3,0
0,33,23,3,0,0,19,0,0,0,1,0,6,Francais 1,0
0,32,7,5,0,0,9,1,0,0,1,1,6,Systemes d'exploitation,1
0,38,3,2,0,0,31,1,1,1,0,1,10,Robotique,1
0,26,20,22,0,1,8,0,0,1,0,0,9,Robotique,1
1,30,16,5,1,0,8,0,3,1,0,0,4,Traitement du langage naturel,1
1,26,25,22,0,0,10,0,1,0,0,1,4,Securite informatique,0
0,26,16,21,0,0,14,0,0,1,1,1,9,Securite informatique,0
0,26,30,24,0,0,0,1,0,1,1,0,9,Francais 3,0
1,26,17,18,0,0,35,0,0,0,1,1,4,Peripheriques et objets connectes,0
1,20,1,21,1,1,23,0,1,1,0,0,10,Genie logiciel,1
0,35,21,1,1,1,20,1,1,0,1,0,8,Big Data Analytics,1
0,20,16,12,1,0,5,1,4,1,1,0,7,Traitement du langage naturel,1
0,27,1,12,0,0,23,1,0,1,1,0,4,Langages de programmation avances,0
0,25,11,5,0,0,8,0,1,1,1,0,9,Reseaux informatiques,1
0,21,4,20,1,1,32,0,4,0,0,0,7,Robotique,0
1,36,26,4,1,0,27,1,4,1,0,1,8,Application mobile 1,1
1,22,24,6,0,0,33,0,0,1,0,1,9,Big Data Analytics,0
0,34,12,23,1,1,31,0,0,1,0,0,10,Francais 1,1
0,19,4,18,0,0,2,0,3,0,0,1,9,Structure de base de donnees,0
