sexe,age,distance_parcourus,nombre_heure_retard,travail,premiere_fois,nb_heure_travail_semaine,Tutorat,nationalite,vehicule,vis_seul,etat_matrimonial,heure_moyenne_sommeil,Nom_cours,classe
M,34,88,0,oui,non,55,non,Afrique,oui,non,celibataire,5,Conception de bases de donnees,cours reussit
M,33,90,9,oui,non,21,non,Asie,non,oui,celibataire,6,Securite informatique,cours echoue
M,32,56,2,non,non,36,non,Amerique,non,non,en couple,4,Genie logiciel,cours reussit
F,38,5,10,oui,oui,14,non,Asie,oui,oui,en couple,7,Conception de bases de donnees,cours reussit
F,25,11,9,non,oui,11,oui,Afrique,non,non,en couple,5,Robotique,cours reussit
F,27,20,7,oui,oui,14,oui,Afrique,oui,non,en couple,6,Systemes d'exploitation,cours echoue
F,33,71,9,non,non,5,oui,Afrique,oui,oui,celibataire,10,Systemes d'exploitation,cours echoue
M,34,42,8,non,non,29,oui,Asie,non,oui,en couple,7,Developpement web avance,cours echoue
M,20,66,7,oui,non,13,non,Afrique,oui,non,en couple,7,Application mobile 1,cours echoue
M,19,74,0,oui,non,28,oui,Oceanie,oui,oui,en couple,7,Mathematiques discretes,cours reussit
F,20,46,7,oui,oui,60,oui,Europe,non,oui,en couple,6,Application mobile 1,cours reussit
M,26,39,3,non,non,13,oui,Asie,non,oui,celibataire,4,Robotique,cours echoue
F,33,83,10,oui,non,13,oui,Oceanie,oui,oui,celibataire,10,Algorithmes avances,cours reussit
F,28,35,2,oui,non,40,oui,Amerique,oui,non,celibataire,4,Philosophie 1,cours reussit
M,31,64,2,non,oui,6,non,Asie,oui,non,celibataire,5,Langages de programmation avances,cours reussit
F,39,55,3,non,oui,54,oui,Asie,oui,non,en couple,8,Structure de base de donnees,cours echoue
F,21,98,3,oui,non,53,oui,Amerique,non,non,en couple,8,Philosophie 1,cours reussit
F,20,28,1,oui,non,48,oui,Europe,non,oui,celibataire,7,Fracais 2,cours reussit
F,26,23,7,oui,non,59,non,Amerique,non,oui,en couple,9,Application mobile 2,cours reussit
F,32,58,10,non,oui,54,non,Oceanie,non,oui,en couple,8,Traitement du langage naturel,cours echoue
F,25,42,5,non,oui,2,non,Afrique,non,non,celibataire,6,Intelligence artificielle 1,cours echoue
F,23,5,1,oui,non,9,oui,Asie,oui,oui,celibataire,5,Reseaux informatiques,cours reussit
M,23,30,0,non,non,35,non,Europe,non,non,en couple,7,Espagnol,cours echoue
M,21,93,7,oui,oui,50,oui,Europe,oui,oui,en couple,4,Fracais 2,cours echoue
M,39,37,4,non,oui,13,non,Oceanie,oui,non,en couple,8,Reseaux informatiques,cours reussit
F,21,40,5,oui,non,3,oui,Asie,oui,oui,celibataire,5,Big Data Analytics,cours echoue
M,37,73,10,non,oui,17,non,Amerique,non,non,en couple,10,Anglais,cours echoue
M,21,38,5,non,oui,18,non,Europe,oui,oui,celibataire,8,Intelligence artificielle 2,cours reussit
M,36,13,6,oui,oui,57,non,Asie,non,oui,en couple,7,Big Data Analytics,cours echoue
F,39,44,6,oui,oui,48,oui,Oceanie,oui,oui,celibataire,6,Fracais 2,cours reussit
F,31,41,8,non,non,56,non,Oceanie,non,non,celibataire,8,Systemes d'exploitation,cours echoue
F,37,97,9,oui,non,19,non,Asie,non,non,celibataire,6,Securite informatique,cours reussit
F,33,26,8,non,non,43,non,Afrique,non,oui,en couple,5,Reseaux informatiques,cours reussit
F,19,53,4,oui,non,51,non,Oceanie,oui,oui,celibataire,4,Langages de programmation avances,cours echoue
F,29,45,7,oui,oui,38,oui,Afrique,oui,non,celibataire,4,Machine Learning,cours echoue
F,18,39,10,non,non,9,oui,Asie,oui,non,en couple,8,Espagnol,cours reussit
F,22,96,7,non,oui,51,non,Amerique,non,non,celibataire,7,Philosophie 2,cours echoue
M,38,84,1,non,non,4,non,Afrique,non,oui,celibataire,7,Fracais 2,cours reussit
M,37,51,4,non,non,18,oui,Oceanie,non,oui,celibataire,5,Machine Learning,cours reussit
F,26,15,5,oui,non,5,non,Oceanie,non,non,en couple,4,Structure de base de donnees,cours echoue
F,26,41,6,oui,oui,17,non,Asie,oui,oui,celibataire,10,Anglais,cours reussit
F,27,52,2,non,non,32,non,Asie,non,oui,celibataire,5,Anglais,cours echoue
M,37,82,0,oui,non,8,non,Oceanie,oui,oui,celibataire,4,Anglais,cours echoue
M,20,9,0,oui,oui,10,oui,Asie,oui,oui,en couple,9,Intelligence artificielle 2,cours echoue
F,29,11,10,non,oui,29,non,Asie,non,non,celibataire,9,Developpement web avance,cours reussit
M,37,1,4,non,oui,42,non,Amerique,non,non,celibataire,4,Philosophie 1,cours reussit
F,26,74,2,oui,non,35,oui,Asie,non,oui,celibataire,6,Fracais 2,cours reussit
M,32,76,6,oui,oui,27,non,Europe,oui,oui,celibataire,8,Algorithmes avances,cours echoue
F,35,21,8,non,oui,27,non,Oceanie,non,non,en couple,4,Anglais,cours reussit
F,40,69,10,non,oui,11,oui,Europe,non,oui,celibataire,5,Philosophie 3,cours echoue
F,26,81,5,oui,oui,15,oui,Oceanie,non,oui,celibataire,8,Traitement du langage naturel,cours echoue
F,29,19,3,oui,non,26,non,Afrique,non,oui,en couple,6,Anglais,cours echoue
F,18,64,3,non,oui,58,oui,Afrique,oui,non,celibataire,9,Traitement du langage naturel,cours reussit
M,23,56,7,non,oui,49,oui,Asie,oui,oui,en couple,10,Intelligence artificielle 2,cours reussit
M,30,87,1,oui,oui,4,non,Europe,oui,oui,en couple,7,Intelligence artificielle 2,cours echoue
F,22,98,4,oui,oui,52,oui,Afrique,non,non,celibataire,4,Algorithmes avances,cours echoue
M,20,69,8,oui,non,13,non,Amerique,oui,non,en couple,4,Espagnol,cours reussit
F,29,66,10,non,non,36,non,Asie,non,oui,en couple,8,Application mobile 2,cours echoue
F,37,32,8,non,non,21,non,Europe,oui,oui,en couple,9,Developpement web avance,cours echoue
M,25,64,2,oui,oui,60,non,Afrique,oui,non,celibataire,4,Mathematiques discretes,cours echoue
F,22,94,3,non,non,28,oui,Afrique,non,oui,en couple,10,Philosophie 2,cours reussit
F,27,95,2,non,non,40,oui,Asie,oui,non,celibataire,8,Fracais 2,cours reussit
M,22,95,9,non,oui,25,oui,Afrique,non,non,en couple,5,Systemes d'exploitation,cours reussit
F,30,8,7,oui,oui,10,non,Afrique,oui,oui,en couple,10,Mathematiques discretes,cours echoue
M,39,33,6,oui,oui,2,oui,Oceanie,non,non,en couple,8,Big Data Analytics,cours echoue
F,40,86,10,non,non,20,non,Afrique,non,oui,en couple,10,Traitement du langage naturel,cours echoue
M,28,3,9,non,oui,38,oui,Amerique,non,oui,en couple,6,Robotique,cours echoue
M,18,31,4,oui,non,12,non,Asie,non,oui,en couple,9,Francais 1,cours echoue
F,20,37,6,non,non,5,oui,Afrique,non,non,celibataire,9,Structure de base de donnees,cours echoue
F,35,59,1,oui,non,33,oui,Europe,oui,non,en couple,10,Big Data Analytics,cours echoue
F,39,61,5,oui,oui,56,oui,Asie,oui,oui,en couple,7,Intelligence artificielle ethique,cours echoue
F,21,51,4,oui,oui,59,oui,Oceanie,non,oui,celibataire,8,Fracais 2,cours reussit
F,21,34,7,non,non,13,oui,Oceanie,oui,non,celibataire,6,Conception de bases de donnees,cours reussit
M,35,57,5,oui,non,27,non,Oceanie,non,non,en couple,6,Systemes d'exploitation,cours reussit
M,37,91,6,oui,non,22,non,Europe,non,non,celibataire,5,Intelligence artificielle ethique,cours echoue
F,24,91,2,oui,non,5,oui,Oceanie,non,oui,en couple,7,Espagnol,cours reussit
M,18,44,7,oui,non,54,oui,Amerique,oui,oui,en couple,4,Francais 3,cours reussit
M,37,35,10,oui,oui,17,oui,Oceanie,non,non,en couple,5,Intelligence artificielle 1,cours echoue
M,34,23,5,oui,non,41,oui,Afrique,non,non,celibataire,4,Mathematiques discretes,cours echoue
F,27,15,8,oui,oui,7,non,Europe,non,non,celibataire,10,Intelligence artificielle 1,cours echoue
F,33,0,8,non,non,53,oui,Europe,oui,oui,celibataire,8,Francais 1,cours reussit
M,20,66,7,oui,non,54,oui,Asie,non,non,en couple,4,Philosophie 2,cours reussit
F,39,14,7,non,oui,13,non,Oceanie,non,non,en couple,4,Programmation orientee objet,cours reussit
F,35,46,9,non,oui,25,non,Amerique,non,non,en couple,4,Conception de bases de donnees,cours reussit
M,22,81,0,non,oui,49,non,Afrique,oui,oui,en couple,5,Traitement du langage naturel,cours reussit
M,29,18,6,non,non,46,oui,Afrique,oui,non,celibataire,10,Peripheriques et objets connectes,cours echoue
M,27,55,4,oui,oui,45,non,Afrique,oui,oui,en couple,8,Philosophie 2,cours echoue
F,27,1,10,oui,oui,45,oui,Europe,oui,oui,en couple,6,Securite informatique,cours echoue
F,36,55,1,non,oui,52,non,Amerique,non,non,en couple,9,Francais 1,cours reussit
F,22,93,1,oui,oui,34,non,Asie,oui,oui,en couple,8,Conception de bases de donnees,cours reussit
F,36,25,5,non,oui,21,non,Oceanie,oui,non,celibataire,6,Programmation orientee objet,cours echoue
F,24,88,1,non,oui,24,oui,Europe,oui,non,celibataire,8,Big Data Analytics,cours echoue
F,20,9,9,oui,non,46,oui,Afrique,oui,non,en couple,10,Intelligence artificielle 2,cours reussit
F,34,92,2,oui,oui,5,oui,Afrique,oui,non,en couple,10,Langages de programmation avances,cours echoue
F,21,30,6,non,non,36,non,Oceanie,non,non,celibataire,9,Francais 1,cours echoue
M,19,92,10,non,oui,0,non,Oceanie,non,non,celibataire,5,Systemes d'exploitation,cours echoue
M,22,36,8,oui,oui,52,oui,Amerique,non,oui,en couple,6,Intelligence artificielle 1,cours reussit
F,25,70,9,oui,oui,31,non,Afrique,non,non,celibataire,8,Reseaux informatiques,cours reussit
M,24,27,3,oui,oui,45,non,Amerique,oui,oui,celibataire,4,Securite informatique,cours echoue
M,25,17,7,non,non,44,oui,Amerique,oui,oui,en couple,7,Intelligence artificielle 2,cours echoue
F,38,99,2,oui,non,27,non,Oceanie,oui,oui,celibataire,10,Peripheriques et objets connectes,cours echoue
M,28,90,0,non,non,48,non,Amerique,oui,oui,en couple,10,Traitement du langage naturel,cours echoue
F,25,79,3,non,non,51,oui,Asie,non,oui,celibataire,4,Peripheriques et objets connectes,cours echoue
F,29,16,9,oui,oui,44,non,Europe,oui,non,celibataire,5,Reseaux informatiques,cours reussit
F,38,43,7,non,oui,45,non,Oceanie,non,non,en couple,7,Developpement web avance,cours reussit
M,26,26,9,non,non,26,oui,Asie,oui,oui,en couple,9,Francais 3,cours reussit
M,35,60,5,non,non,37,non,Europe,oui,oui,celibataire,7,Francais 1,cours reussit
F,35,30,2,oui,non,15,non,Afrique,non,oui,en couple,7,Intelligence artificielle 2,cours reussit
M,20,35,10,oui,non,59,non,Oceanie,oui,non,celibataire,7,Genie logiciel,cours echoue
M,22,14,9,non,oui,34,oui,Amerique,non,oui,celibataire,6,Mathematiques discretes,cours reussit
F,24,15,7,oui,non,26,oui,Afrique,non,oui,celibataire,10,Francais 1,cours echoue
M,38,21,5,non,non,28,non,Asie,oui,non,celibataire,8,Peripheriques et objets connectes,cours echoue
M,35,19,7,non,non,46,oui,Europe,non,non,celibataire,9,Anglais,cours reussit
M,30,0,5,non,oui,25,non,Afrique,oui,non,en couple,6,Systemes d'exploitation,cours reussit
M,24,2,3,non,non,2,non,Europe,non,oui,en couple,7,Intelligence artificielle 2,cours reussit
F,33,59,5,non,oui,50,oui,Afrique,oui,oui,en couple,7,Espagnol,cours echoue
M,19,62,9,oui,oui,2,oui,Afrique,non,non,celibataire,6,Philosophie 2,cours reussit
M,35,93,5,non,non,23,non,Oceanie,oui,non,celibataire,5,Fracais 2,cours reussit
M,25,91,5,non,non,17,non,Oceanie,non,non,celibataire,10,Intelligence artificielle ethique,cours reussit
F,29,41,3,oui,non,52,non,Asie,oui,non,celibataire,4,Intelligence artificielle 1,cours reussit
F,35,12,0,non,non,11,oui,Afrique,oui,non,celibataire,6,Securite informatique,cours echoue
M,38,31,7,oui,oui,60,non,Amerique,non,oui,en couple,10,Anglais,cours reussit
F,21,16,7,non,oui,36,oui,Asie,non,non,en couple,9,Intelligence artificielle 1,cours echoue
F,35,37,7,non,non,35,oui,Amerique,oui,oui,en couple,9,Systemes d'exploitation,cours reussit
M,20,96,3,non,oui,4,oui,Afrique,oui,oui,celibataire,8,Application mobile 1,cours reussit
F,39,41,1,oui,oui,7,non,Europe,non,oui,en couple,9,Structure de base de donnees,cours reussit
F,34,33,1,non,non,22,non,Europe,oui,non,celibataire,5,Traitement du langage naturel,cours reussit
F,33,96,5,non,oui,56,non,Europe,oui,non,celibataire,9,Big Data Analytics,cours reussit
M,34,48,3,non,non,1,non,Amerique,non,oui,en couple,9,Espagnol,cours echoue
M,26,61,7,oui,non,35,oui,Oceanie,non,oui,en couple,5,Peripheriques et objets connectes,cours echoue
F,38,11,1,oui,oui,18,oui,Amerique,oui,non,en couple,4,Francais 1,cours echoue
M,25,98,7,oui,oui,40,non,Oceanie,oui,non,en couple,6,Developpement web avance,cours echoue
F,20,35,3,oui,oui,41,non,Europe,oui,non,celibataire,5,Langages de programmation avances,cours reussit
M,37,4,5,non,non,52,non,Amerique,oui,oui,en couple,5,Application mobile 1,cours echoue
F,28,59,10,non,oui,56,non,Afrique,non,non,celibataire,9,Mathematiques discretes,cours echoue
F,18,96,0,non,oui,52,oui,Amerique,oui,non,celibataire,10,Structure de base de donnees,cours echoue
F,24,18,1,oui,oui,44,oui,Oceanie,non,non,celibataire,9,Genie logiciel,cours reussit
F,32,41,3,non,oui,11,oui,Oceanie,non,oui,en couple,8,Fracais 2,cours reussit
F,33,30,5,non,oui,11,oui,Europe,oui,oui,en couple,8,Securite informatique,cours reussit
F,28,94,2,oui,non,10,non,Oceanie,non,oui,celibataire,8,Philosophie 2,cours echoue
F,22,59,2,oui,oui,54,oui,Amerique,non,oui,en couple,4,Philosophie 1,cours echoue
F,25,98,9,oui,oui,33,oui,Amerique,oui,oui,en couple,10,Anglais,cours echoue
F,21,22,8,oui,non,17,oui,Afrique,oui,oui,celibataire,5,Big Data Analytics,cours reussit
F,32,25,8,non,oui,47,oui,Asie,oui,oui,en couple,9,Francais 1,cours echoue
F,27,43,7,oui,oui,15,oui,Asie,non,oui,celibataire,9,Systemes d'exploitation,cours reussit
M,25,94,8,oui,oui,3,oui,Afrique,oui,oui,en couple,9,Application mobile 1,cours reussit
M,32,69,3,non,oui,22,non,Oceanie,non,oui,celibataire,10,Developpement web avance,cours reussit
F,30,25,2,oui,oui,11,oui,Amerique,non,oui,en couple,6,Philosophie 2,cours reussit
F,35,34,2,oui,oui,4,oui,Europe,oui,non,en couple,6,Fracais 2,cours reussit
F,21,3,2,oui,oui,17,non,Oceanie,non,oui,celibataire,9,Application mobile 2,cours reussit
M,26,89,0,oui,non,57,oui,Afrique,oui,oui,en couple,9,Machine Learning,cours reussit
F,21,35,6,oui,non,12,oui,Asie,oui,non,en couple,7,Intelligence artificielle 1,cours echoue
